Station ID,Station name,Variable,Position/depth (AGL) (m),Sensor Mfg,Sensor Model
MOYM8,Mosby S,FF [m/s],10,RM Young,05108-74
MOBM8,Mosby NW,FF [m/s],10,RM Young,05108-74
MTLM8,Mt Lebanon SE,FF [m/s],10,RM Young,05108-74
MSSM8,Musselshell,FF [m/s],10,RM Young,05108-74
OILM8,Oilmont,FF [m/s],10,RM Young,05108-74
OTRM8,Otter E,FF [m/s],10,RM Young,05108-74
RAPM8,Rapelje SW,FF [m/s],10,RM Young,05108-74
RMYM8,Rothiemay W,FF [m/s],10,RM Young,05108-74
ROUM8,Roundup,FF [m/s],10,RM Young,05108-74
RYOM8,Roy E,FF [m/s],10,RM Young,05108-74
RGTM8,Ryegate S,FF [m/s],10,RM Young,05108-74
SASM8,Saco S,FF [m/s],10,RM Young,05108-74
SDSM8,Sand Springs NW,FF [m/s],10,RM Young,05108-74
SVYM8,Savoy SW,FF [m/s],10,RM Young,05108-74
SCYM8,Scobey NW,FF [m/s],10,RM Young,05108-74
SIYM8,Sidney,FF [m/s],10,RM Young,05108-74
SBSM8,Sunburst NW,FF [m/s],10,RM Young,05108-74
SURM8,Sun River SE,FF [m/s],10,RM Young,05108-74
TTNM8,Toston,FF [m/s],10,RM Young,05108-74
TRNM8,Turner N,FF [m/s],10,RM Young,05108-74
TWOM8,Twodot E,FF [m/s],10,RM Young,05108-74
VLTM8,Dovetail,FF [m/s],10,RM Young,05108-74
WRHM8,War Horse NW,FF [m/s],10,RM Young,05108-74
WNFM8,Woodhawk,FF [m/s],10,RM Young,05108-74
WIEM8,Winnett SW,FF [m/s],10,RM Young,05108-74
KEEM8,Absarokee,SOILM4 [%],0.1,Acclima,TDR-310N
ASAM8,Ashland E,SOILM4 [%],0.1,Acclima,TDR-310N
BLWM8,Benton Lake W,SOILM4 [%],0.1,Acclima,TDR-310N
BSWM8,Big Sandy NW,SOILM4 [%],0.1,Acclima,TDR-310N
BSWM8,Big Sandy NW,SOILM4 [%],0.1,Acclima,TDR-310N
BTSM8,Big Timber SE,SOILM4 [%],0.1,Acclima,TDR-310N
BNWM8,Bowmans Corner NW,SOILM4 [%],0.1,Acclima,TDR-310N
BZNM8,Bozeman,SOILM4 [%],0.1,Acclima,TDR-310N
BZNM8,Bozeman,SOILM4 [%],0.1,Acclima,TDR-310N
BRYM8,Brady NE,SOILM4 [%],0.1,Acclima,TDR-310N
BDVM8,Broadview,SOILM4 [%],0.1,Acclima,TDR-310N
BSEM8,Big Sandy SE,SOILM4 [%],0.1,Acclima,TDR-310N
BSEM8,Big Sandy SE,SOILM4 [%],0.1,Acclima,TDR-310N
BUFM8,Buffalo Lake E,SOILM4 [%],0.1,Acclima,TDR-310N
BUFM8,Buffalo Lake E,SOILM4 [%],0.1,Acclima,TDR-310N
BUSM8,Busby S,SOILM4 [%],0.1,Acclima,TDR-310N
BYUM8,Bynum W,SOILM4 [%],0.1,Acclima,TDR-310N
CRNM8,Carter N,SOILM4 [%],0.1,Acclima,TDR-310N
CRNM8,Carter N,SOILM4 [%],0.1,Acclima,TDR-310N
CHSM8,Chester SW,SOILM4 [%],0.1,Acclima,TDR-310N
CSTM8,Christina W,SOILM4 [%],0.1,Acclima,TDR-310N
CSTM8,Christina W,SOILM4 [%],0.1,Acclima,TDR-310N
CFCM8,Coffee Creek N,SOILM4 [%],0.1,Acclima,TDR-310N
CNNM8,Conrad N,SOILM4 [%],0.1,Acclima,TDR-310N
CNNM8,Conrad N,SOILM4 [%],0.1,Acclima,TDR-310N
COOM8,Cooney Reservoir NW,SOILM4 [%],0.1,Acclima,TDR-310N
